CODE_CIRCONSCRIPTION;NOM_CIRCONSCRIPTION;NUMERO_CANDIDAT;SEXE_CANDIDAT;NOM_CANDIDAT;PRENOM_CANDIDAT;COLONNE_TRI;TYPE_CANDIDAT;ABREVIATION_PARTI;NOM_PARTI;DEPUTE_SORTANT;SEXE_AGENT_OFF;NOM_AGENT_OFF;PRENOM_AGENT_OFF;DATE
323;Arthabaska;498;M;Dastous;Luc;DASTOUSLUC;CPA;P.L.Q./Q.L.P.;Parti libéral du Québec/Quebec Liberal Party;N;M;Marcoux;Patrice;2014-03-22 20:00:01
323;Arthabaska;528;M;Fillion;François;FILLIONFRANCOIS;CPA;P.V.Q./G.P.Q.;Parti vert du Québec/Green Party of Québec;N;M;McMurray;Ken;2014-03-22 20:00:01
323;Arthabaska;92;M;Landry;Jean;LANDRYJEAN;CPA;É.A.P. - P.C.Q.;Équipe Adrien Pouliot - Parti conservateur du Québec;N;M;Verville;Marc;2014-03-22 20:00:01
323;Arthabaska;639;F;Letendre;Christine;LETENDRECHRISTINE;CPA;Q.S.;Québec solidaire;N;M;Tremblay;Alain;2014-03-22 20:00:01
323;Arthabaska;379;F;Roy;Sylvie;ROYSYLVIE;CPA;C.A.Q.-É.F.L.;Coalition avenir Québec - L'équipe François Legault;O;F;Savard;Nicole;2014-03-22 20:00:01
323;Arthabaska;147;M;St-Arnaud;Gaëtan;SAINTARNAUDGAETAN;CPA;P.Q.;Parti québécois;N;M;Auger;Jacques;2014-03-22 20:00:01
309;Beauce-Nord;391;M;Couture;Eric;COUTUREERIC;CPA;É.A.P. - P.C.Q.;Équipe Adrien Pouliot - Parti conservateur du Québec;N;M;Verville;Marc;2014-03-22 20:00:01
309;Beauce-Nord;233;F;Couture;José;COUTUREJOSE;CPA;P.L.Q./Q.L.P.;Parti libéral du Québec/Quebec Liberal Party;N;M;Bouffard;Rolland;2014-03-22 20:00:01
309;Beauce-Nord;560;M;Dumont;Mathieu;DUMONTMATHIEU;CPA;Q.S.;Québec solidaire;N;M;Tremblay;Alain;2014-03-22 20:00:01
309;Beauce-Nord;796;M;Pouliot-Audet;Olivier;POULIOTAUDETOLIVIER;CPA;P.Q.;Parti québécois;N;M;Labbé;Hugues;2014-03-22 20:00:01
309;Beauce-Nord;329;M;Roy;Benoît;ROYBENOIT;CIA;;;N;F;Guay;Nicole ;2014-03-22 20:00:01
309;Beauce-Nord;175;M;Spénard;André;SPENARDANDRE;CPA;C.A.Q.-É.F.L.;Coalition avenir Québec - L'équipe François Legault;O;F;Savard;Nicole ;2014-03-22 20:00:01
309;Beauce-Nord;801;M;Tessier-Moreau;Lorenzo;TESSIERMOREAULORENZO;CPA;O.N. - P.I.Q.;Option nationale - Pour l'indépendance du Québec;N;M;Gauthier;Sylvain;2014-03-22 20:00:01
293;Beauce-Sud;365;M;Bégin;Stéphane;BEGINSTEPHANE;CPA;É.A.P. - P.C.Q.;Équipe Adrien Pouliot - Parti conservateur du Québec;N;M;Verville;Marc;2014-03-22 20:00:01
293;Beauce-Sud;172;M;Dutil;Robert;DUTILROBERT;CPA;P.L.Q./Q.L.P.;Parti libéral du Québec/Quebec Liberal Party;O;M;Bérubé;Jacques;2014-03-22 20:00:01
293;Beauce-Sud;569;M;Gagnon Lacroix;Alex;GAGNONLACROIXALEX;CPA;P.Q.;Parti québécois;N;M;Vachon;Paul;2014-03-22 20:00:01
293;Beauce-Sud;545;M;Genesse;Robert;GENESSEROBERT;CPA;Q.R.D.;Québec - Révolution démocratique;N;F;Bourque;Claude;2014-03-22 20:00:01
293;Beauce-Sud;538;M;Paquet;Jean;PAQUETJEAN;CPA;M.P.Q.;Mon pays le Québec;N;F;Day;Louise;2014-03-22 20:00:01
293;Beauce-Sud;170;M;Poulin;Samuel;POULINSAMUEL;CPA;C.A.Q.-É.F.L.;Coalition avenir Québec - L'équipe François Legault;N;F;Savard;Nicole;2014-03-22 20:00:01
293;Beauce-Sud;517;F;Roy;Vanessa;ROYVANESSA;CPA;O.N. - P.I.Q.;Option nationale - Pour l'indépendance du Québec;N;M;Gauthier;Sylvain;2014-03-22 20:00:01
293;Beauce-Sud;721;F;Vincent;Diane;VINCENTDIANE;CPA;Q.S.;Québec solidaire;N;M;Tremblay;Alain;2014-03-22 20:00:01
153;Beauharnois;77;F;De Bellefeuille;Julie;DEBELLEFEUILLEJULIE;CPA;É.A.P. - P.C.Q.;Équipe Adrien Pouliot - Parti conservateur du Québec;N;M;Verville;Marc;2014-03-22 20:00:01
153;Beauharnois;497;M;de Repentigny;Yves;DEREPENTIGNYYVES;CPA;P.Éq.;Parti équitable;N;M;Robitaille;Dominique;2014-03-22 20:00:01
153;Beauharnois;508;F;Haliburton;Victoria;HALIBURTONVICTORIA;CPA;P.V.Q./G.P.Q.;Parti vert du Québec/Green Party of Québec;N;M;McMurray;Ken;2014-03-22 20:00:01
153;Beauharnois;830;M;Larocque;Sylvain;LAROCQUESYLVAIN;CIA;;;N;M;Guérin;Sylvain;2014-03-22 20:00:01
153;Beauharnois;297;M;Leclair;Guy;LECLAIRGUY;CPA;P.Q.;Parti québécois;O;F;Roy;Linda;2014-03-22 20:00:01
153;Beauharnois;520;F;Lemieux;Lyse;LEMIEUXLYSE;CPA;P.L.Q./Q.L.P.;Parti libéral du Québec/Quebec Liberal Party;N;F;St-Onge;Sonia;2014-03-22 20:00:01
153;Beauharnois;380;M;Moreau;Claude;MOREAUCLAUDE;CPA;C.A.Q.-É.F.L.;Coalition avenir Québec - L'équipe François Legault;N;F;Savard;Nicole;2014-03-22 20:00:01
153;Beauharnois;730;F;Rousseau;Florence;ROUSSEAUFLORENCE;CPA;O.N. - P.I.Q.;Option nationale - Pour l'indépendance du Québec;N;M;Lanthier;Sylvain;2014-03-22 20:00:01
153;Beauharnois;82;M;St-Onge;Pierre-Paul;SAINTONGEPIERREPAUL;CPA;Q.S.;Québec solidaire;N;M;Tremblay;Alain;2014-03-22 20:00:01
303;Bellechasse;191;M;Aubin;Patrice;AUBINPATRICE;CPA;É.A.P. - P.C.Q.;Équipe Adrien Pouliot - Parti conservateur du Québec;N;M;Verville;Marc;2014-03-22 20:00:01
303;Bellechasse;866;M;Comeau;Benoit;COMEAUBENOIT;CPA;Q.S.;Québec solidaire;N;M;Tremblay;Alain;2014-03-22 20:00:01
303;Bellechasse;468;F;Goupil;Linda;GOUPILLINDA;CPA;P.Q.;Parti québécois;N;M;Boutin;Raymond;2014-03-22 20:00:01
303;Bellechasse;434;F;Lachance;Stéphanie;LACHANCESTEPHANIE;CPA;C.A.Q.-É.F.L.;Coalition avenir Québec - L'équipe François Legault;N;F;Savard;Nicole;2014-03-22 20:00:01
303;Bellechasse;917;F;Lefebvre;Mathilde;LEFEBVREMATHILDE;CPA;O.N. - P.I.Q.;Option nationale - Pour l'indépendance du Québec;N;M;Gauthier;Sylvain;2014-03-22 20:00:01
